DSP,Relation,DSI,Source
DSP000134,has_ingredient,DSI000206,NHP
DSP000135,has_ingredient,DSI000044,NHP
DSP000135,has_ingredient,DSI000012,NHP
DSP000135,has_ingredient,DSI000070,NHP
DSP000135,has_ingredient,DSI000071,NHP
DSP000135,has_ingredient,DSI000061,NHP
DSP000135,has_ingredient,DSI000173,NHP
DSP000135,has_ingredient,DSI000014,NHP
DSP000135,has_ingredient,DSI000175,NHP
DSP000135,has_ingredient,DSI000176,NHP
DSP000135,has_ingredient,DSI000171,NHP
DSP000135,has_ingredient,DSI000268,NHP
DSP000135,has_ingredient,DSI000161,NHP
DSP000135,has_ingredient,DSI000177,NHP
DSP000135,has_ingredient,DSI000178,NHP
DSP000135,has_ingredient,DSI000096,NHP
DSP000135,has_ingredient,DSI000017,NHP
DSP000135,has_ingredient,DSI000162,NHP
DSP000135,has_ingredient,DSI000018,NHP
DSP000135,has_ingredient,DSI000002,NHP
DSP000135,has_ingredient,DSI000019,NHP
DSP000135,has_ingredient,DSI000011,NHP
DSP000135,has_ingredient,DSI000020,NHP
DSP000135,has_ingredient,DSI000021,NHP
DSP000135,has_ingredient,DSI000041,NHP
DSP000135,has_ingredient,DSI000022,NHP
DSP000135,has_ingredient,DSI000184,NHP
DSP000135,has_ingredient,DSI000006,NHP
DSP000136,has_ingredient,DSI000269,NHP
DSP000137,has_ingredient,DSI000190,NHP
DSP000137,has_ingredient,DSI000231,NHP
DSP000137,has_ingredient,DSI000229,NHP
DSP000137,has_ingredient,DSI000230,NHP
DSP000137,has_ingredient,DSI000161,NHP
DSP000137,has_ingredient,DSI000162,NHP
DSP000137,has_ingredient,DSI000270,NHP
DSP000138,has_ingredient,DSI000170,NHP
DSP000139,has_ingredient,DSI000271,NHP
DSP000140,has_ingredient,DSI000261,NHP
DSP000141,has_ingredient,DSI000272,NHP
DSP000141,has_ingredient,DSI000273,NHP
DSP000141,has_ingredient,DSI000274,NHP
DSP000141,has_ingredient,DSI000275,NHP
DSP000141,has_ingredient,DSI000276,NHP
DSP000141,has_ingredient,DSI000277,NHP
DSP000141,has_ingredient,DSI000278,NHP
DSP000141,has_ingredient,DSI000068,NHP
DSP000141,has_ingredient,DSI000279,NHP
DSP000141,has_ingredient,DSI000280,NHP
DSP000142,has_ingredient,DSI000255,NHP
DSP000143,has_ingredient,DSI000281,NHP
DSP000144,has_ingredient,DSI000046,NHP
DSP000144,has_ingredient,DSI000282,NHP
DSP000144,has_ingredient,DSI000095,NHP
DSP000144,has_ingredient,DSI000077,NHP
DSP000145,has_ingredient,DSI000281,NHP
DSP000146,has_ingredient,DSI000283,NHP
DSP000146,has_ingredient,DSI000195,NHP
DSP000146,has_ingredient,DSI000284,NHP
DSP000147,has_ingredient,DSI000285,NHP
DSP000147,has_ingredient,DSI000286,NHP
DSP000147,has_ingredient,DSI000069,NHP
DSP000147,has_ingredient,DSI000222,NHP
DSP000147,has_ingredient,DSI000287,NHP
DSP000147,has_ingredient,DSI000288,NHP
DSP000147,has_ingredient,DSI000289,NHP
DSP000147,has_ingredient,DSI000290,NHP
DSP000147,has_ingredient,DSI000291,NHP
DSP000147,has_ingredient,DSI000292,NHP
